Hochschulname,Land,Hochschultyp,Trägerschaft,Promotionsrecht,Gründungsjahr,AnzahlStudierende,MitgliedschaftHRK
Fachhochschule Südwestfalen,NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],2002,11445,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Thüringer Fachhochschule für öffentliche Verwaltung,TH,Verwaltungshochschule,öffentlich-rechtlich,nein,1994,584,nein
Hochschule Trier – Trier University of Applied Sciences,RP,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,6951,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Universität Trier,RP,Universität,öffentlich-rechtlich,ja,1970,11490,ja (Gruppe der Universitäten)
Staatliche Hochschule für Musik Trossingen,BW,Künstlerische Hochschule,öffentlich-rechtlich,ja,1944,435,ja (Gruppe der Künstlerischen Hochschulen)
Eberhard Karls Universität Tübingen,BW,Universität,öffentlich-rechtlich,ja,1477,27828,ja (Gruppe der Universitäten)
Ukrainische Freie Universität[9][10],BY,Universität,privat,ja,1921,296,nein
Technische Hochschule Ulm,BW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 2],1960,3564,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Universität Ulm,BW,Universität,öffentlich-rechtlich,ja,1967,10164,ja (Gruppe der Universitäten)
WHU – Otto Beisheim School of Management,RP,Universität,privat,ja,1984,1912,ja (Gruppe der sonstigen Hochschulen)
Private Hochschule für Wirtschaft und Technik Vechta/Diepholz,NI,Fachhochschule / HAW,privat,nein,1998,558,nein
Universität Vechta,NI,Universität,öffentlich-rechtlich,ja,1995,4551,ja (Gruppe der Universitäten)
Fachhochschule Wedel,SH,Fachhochschule / HAW,privat,nein,1948,1221,nein
Hochschule für angewandte Wissenschaften Weihenstephan-Triesdorf,BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,6084,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule für Musik Franz Liszt Weimar,TH,Künstlerische Hochschule,öffentlich-rechtlich,ja,1872,738,ja (Gruppe der Künstlerischen Hochschulen)
Bauhaus-Universität Weimar,TH,Universität,öffentlich-rechtlich,ja,1860,3988,ja (Gruppe der Universitäten)
Pädagogische Hochschule Weingarten,BW,Universität,öffentlich-rechtlich,ja,1949,3461,ja (Gruppe Pädagogischen Hochschulen)
Hochschule Weserbergland,NI,Fachhochschule / HAW,privat,nein,2010,485,nein
"Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen",NW,Fachhochschule / HAW,öffentlich-rechtlich,[ja][Anmerkung 1],1992,8143,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
"Fachhochschule Westküste, Hochschule für Wirtschaft und Technik",SH,Fachhochschule / HAW,öffentlich-rechtlich,nein,1994,1830,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
EBS Universität für Wirtschaft und Recht,HE,Universität,privat,ja,1971,1764,ja (Gruppe der sonstigen Hochschulen)
Technische Hochschule Wildau,BB,Fachhochschule / HAW,öffentlich-rechtlich,nein,1991,3485,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Jade Hochschule – Wilhelmshaven/Oldenburg/Elsfleth,NI,Fachhochschule / HAW,öffentlich-rechtlich,nein,2009,6789,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
"Hochschule Wismar – University of Applied Sciences: Technology, Business and Design",MV,Fachhochschule / HAW,öffentlich-rechtlich,nein,1908,8403,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Universität Witten/Herdecke,NW,Universität,privat,ja,1982,2897,ja (Gruppe der Universitäten)
"Hochschule Worms, University of Applied Sciences",RP,Fachhochschule / HAW,öffentlich-rechtlich,nein,1996,3484,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Bergische Universität Wuppertal,NW,Universität,öffentlich-rechtlich,ja,1972,21038,ja (Gruppe der Universitäten)
Hochschule für Musik Würzburg,BY,Künstlerische Hochschule,öffentlich-rechtlich,ja,1797,358,ja (Gruppe der Künstlerischen Hochschulen)
Technische Hochschule Würzburg-Schweinfurt (THWS),BY,Fachhochschule / HAW,öffentlich-rechtlich,nein,1971,9269,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Hochschule Zittau/Görlitz,SN,Fachhochschule / HAW,öffentlich-rechtlich,nein,1992,2655,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
Westsächsische Hochschule Zwickau,SN,Fachhochschule / HAW,öffentlich-rechtlich,nein,1897,3104,"ja (Gruppe der Hochschulen für Angewandte Wissenschaften, Fachhochschulen)"""
